取得日,企業,証券コード・ティッカー,企業関与,企業関与信頼度,テーマ,材料,事業進展スコア,株価反応1日,株価反応5日,株価反応20日,未織り込みギャップ,株価,時価総額,PER,PBR,PSR,EV/EBITDA,EPS,EPS成長率,EPS成長判定,売上成長率,営業利益成長率,ROE,ROIC,営業CF,FCF,配当利回り,配当性向,利益品質,バリュエーション整合性,データ品質,データ基準日,決算期,指標基準,取得元,整合性チェック,リスク,タイトル,公開日時,URL
2026-09-21,Corning Incorporated,GLW,関与候補,0.74,光通信,特許・技術,22,,,,18.3,150.1300048828125,129320234339.02771,82.03825403432377,10.901627884967397,8.274376757247918,36.725899421426426,1.83,215.51724137931038,通常成長率,19.141637444732428,100.79295154185024,14.191081669852842,9.841828404111872,2695000000.0,1413000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2025-12-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,"Corning surges sharply, sparking renewed investor interest in optical communications—could optical fiber, CPO, and photonics be the next stars of AI infrastructure? - Moomoo",2026-06-30T16:00:00+09:00,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNV0cwazB2Ti1Ea25jWDNWcVI5R19MYTdnVTdSczg0eVg3NWlRZlBza0c3UERSSTJ4Q2cwZHFmRGRMN0pMVGdfalpXOXJxeGpVZ1p6aFo1TzhaVzVheHZFU2NSRE05bVAwalM5ald2R1BIS0tMb0pjYXI2eHNZYUhaOTFJd1pZWXc2ODE4VnduVlFBOFBYc3VOVTQxUjl1dTlUYl9QVnYwSWQzWmRLaVF0T0ZYSUM0WG1MUHFGV05pZnFhQ25kTXF6Yw?oc=5
2026-09-21,NVIDIA Corporation,NVDA,関与候補,0.74,光通信,特許・技術,22,,,,18.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,NVIDIA’s 2025 photonic switch revolution: powering the AI future - Yole Group,2025-03-24T16:00:00+09:00,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOOWh4R2I1bzhNY0Rnc2xrZEZKdDRFalZLUlZHVUpVemlfTlRKWm00ZDNNSTNRMkFFMFYyOXI0aVJZQW9XeXM1cy1Yb2c4ZEhjSHJmUzFsQnlnUktqU1JkR0RqS3JlWWt4RlRXWXpsaWJtcHc0VGZoRG8teG53S0dJYnNQWmYtZk9zVVBHZ3htTzBkOXFld2ZzQkFfdkFVX0Y3UEY3cGRjNUF3NkU?oc=5
2026-09-21,NVIDIA Corporation,NVDA,関与候補,0.74,光通信,特許・技術,22,,,,18.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,NVIDIA GTC – The Critical Step in CPO Technology: Optical Engine Testing – ficonTEC - semivision,2025-04-15T16:00:00+09:00,https://news.google.com/rss/articles/CBMiggFBVV95cUxPM3RnYy1hMjluVDVyX29FUjBnWVhNa0FJNHU5TnZKMEJVS2RDVEFaTkNucGtpd1pDVkk5RDdpMEtXeFlidmEtel9IZXMtc0lyY1oxTlJzUl8xbFhTdGExdWFFSjE3Q3Vlby1BRFlMQnZlc3czT1VXSllZYW1SUldHdWZ3?oc=5
2026-09-21,NVIDIA Corporation,NVDA,関与候補,0.74,光通信,特許・技術,22,,,,18.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,NVIDIA x TSMC: A Milestone in Silicon Photonics and Optical Integration - semivision,2025-03-27T16:00:00+09:00,https://news.google.com/rss/articles/CBMigwFBVV95cUxNTmlQejRMeVQzbUNoeTI3QVJOLThpSXV4Y2ltdDkzcEVzSExSQkFENXB3aFU4b2NWR3BFbUZUdGRUXzUzS3FKdHpqdkxXZzY2aHBnMVFLdHdJQkpibzk1MG5vT1VwbGg3WFJMMUV3RzQzU2V5QzJvSURKUldaTlBOay1HZw?oc=5
2026-09-21,NVIDIA Corporation,NVDA,関与候補,0.74,光通信,特許・技術,22,,,,18.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,Will Fiber and Photonics Define Nvidia’s Next AI Data Center Push? - Data Center Knowledge,2026-05-08T16:00:00+09:00,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOVWFsS0FsdDltbmM3Y3A3UktVX3VTdVJXcjJVM0JSbTBGRk5McnNhZmlpQjlPdHVKaWtTU0tmT2J0cXlvc2Z1Vy1La0F6dGpSNEo4T3ZKSE5HWXVUU3ZmUnlrWWFPaWJ4ajNzMG1YXzItVFRGZ0ZQLUFUZndvQzFZcWpScWNDTjNnV0JiTVRhZ0RMSnRUYTdLU28zaUhyaGl2b0Zwd2RJcURIanhJbXRlS2V1LWpmQy1v?oc=5
2026-09-21,NVIDIA Corporation,NVDA,関与候補,0.74,光通信,特許・技術,22,,,,18.3,222.27000427246094,5367153793167.114,45.36122536172672,34.34386898233164,24.855068552858295,36.77318745618957,4.9,66.66666666666667,通常成長率,65.47353579009479,60.076363055995486,101.4850815653791,104.6318140841013,102718000000.0,96676000000.0,,,一時要因あり・要確認,OK,83.3,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:一時要因あり・要確認,NVIDIA’s $4B Optics Bet Signals Photonics as AI’s Next Bottleneck - The Futurum Group,2026-03-03T17:00:00+09:00,https://news.google.com/rss/articles/CBMingFBVV95cUxPcmRMWU5YS0FNbEVEbjJBenVYTE9jUHM2SGljNV9aZ0F6VnlEMVlTQUxlbTM5aEREQUNOR01TdWx1X1lKWWVDRUd3SUZxNTYwbEFtYnJhUmFOZG5KZ1QyemJxUnVvUTdRZnhQb3JTWFFZSHhfWjdTQzZNbFRpU1lFamkzcFNVUnlZbVV5RVZwY3c4UWJQclR6MHpEQUZDdw?oc=5
2026-09-21,"Marvell Technology, Inc.",MRVL,関与候補,0.74,AIデータセンター,特許・技術,22,,,,16.5,244.25,219508601725.25,79.56026058631922,14.46305926377163,26.786981881391405,48.82596187612891,3.07,,赤字→黒字転換,42.08728521145078,,19.25409404587639,7.126410325271662,1750500000.0,1391900000.0,,,暫定良好,OK,75.0,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,財務データ未取得,"Marvell to Showcase Industry-leading, End-to-End Connectivity Solutions for AI Data Center Infrastructure at OFC 2026 - Marvell Technology",2026-03-12T16:00:00+09:00,https://news.google.com/rss/articles/CBMikgJBVV95cUxNaXluZUtqcTdlZkxJbmRsSWZ1SEE4bUduN2ZvZ21LaU5yR0R0blU5c0VxQjFHZ2NOdmtNVF9VT3VkYm5teFM0YWZnUzVCYUtHU0FGbFZOSjB6TThRc0MweHluQXdGUzJqZlBrZU9FMDRSZjE5MUVvaEpFOXZrTDIxSTZjWVhUUzduUkVONXZpYzM0QkQtc1RXeWdqWDl6RTJJN1hQQVUxdHFCUDhmZFRXU3BHLWF5Y0lQYnR0YVViUUN1NnpYUVVnRTUyWW1QcmkzYkR0TUowRVIxTTk3QkV5czNVMXYzRGVIV1JRMUd3TWdXc0pqTFZuVDFqcmFNRlphOFc1aDNDSk9IcGR4YTd6eEpn?oc=5
2026-09-21,Aehr Test Systems,AEHR,関与候補,0.74,光通信,特許・技術,22,,,,16.5,93.48999786376953,3053340885.7716827,-406.4782515816066,13.833270909499909,61.06559640350559,-277.6655880308756,-0.23,,NA,-15.206552706552712,,-4.1626020059465745,-9.38404034148715,-3310000.0,-5376000.0,,,赤字・要注意,OK,75.0,2026-09-21,2026-05-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:赤字・要注意,Aehr Wins Major New Silicon Photonics Customer with High-Power FOX-XP Wafer-Level Burn-In System for Hyperscale Data Center Optical Interconnect Market - Aehr Test Systems,2026-03-31T16:00:00+09:00,https://news.google.com/rss/articles/CBMijgJBVV95cUxQaUR4SUg2RHdzMm1rcVFKM0NZanNUaVpVUmZkcGVZZ0tZRVNMMnhiTmd4c3pNRFVELUVNSkhQNHQ5bTNIaEcyTVN2UlNhVXJLRDh4eE9IQ3Vqd0xlWFV1ZDBaSDVDMWk1ZVhkOXFBck1tTFk4NWRqZ1piTmZaSUktZE5IMUQ2dHlOT1JWRlJydlprQ0NESXlkeEhXMW5hdi1WeTQ5cTJyRVRISVFwRE96Z0VuOW0xRGRBM1p3Rkc2NlJXeExMUmg3ajNjamZvYUlSWnM0QzFxeVVjS21PaDUtNXE1WUlMVV96T3pVMElXaFJiZnVGazJ4MGZLdXhmR3J3dkNwSUJwby05eXFLNmc?oc=5
2026-09-21,Aehr Test Systems,AEHR,関与候補,0.74,光通信,特許・技術,22,,,,16.5,93.48999786376953,3053340885.7716827,-406.4782515816066,13.833270909499909,61.06559640350559,-277.6655880308756,-0.23,,NA,-15.206552706552712,,-4.1626020059465745,-9.38404034148715,-3310000.0,-5376000.0,,,赤字・要注意,OK,75.0,2026-09-21,2026-05-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,利益品質:赤字・要注意,Aehr wins new silicon photonics test deal tied to AI data centers - Stock Titan,2026-06-17T16:00:00+09:00,https://news.google.com/rss/articles/CBMivwFBVV95cUxOU05PTTJxaWk4aVRPaTNEcWlzYXNrYURfTEZUb2U4aDZOUlg0NmdYUnptRl9DRUV0aElneTluTE1JOW5lOU13ek5XQlZwZ0RxQnlzYXpOQmtUMTZNNlR3MEN1bjhaZV95czFzQ2EtYm5KNTJqR0xxS3N5Y0ZsazJmQ1BqcVdBdDZlakx0MW8wODFyMktEcVl3cmpvaEMzUTNyaUhubE1DWUx0V01rcE1UMTFUemtDbEstOW9hZnA1aw?oc=5
2026-09-21,"Marvell Technology, Inc.",MRVL,関与候補,0.74,半導体,特許・技術,22,,,,16.5,244.25,219508601725.25,79.56026058631922,14.46305926377163,26.786981881391405,48.82596187612891,3.07,,赤字→黒字転換,42.08728521145078,,19.25409404587639,7.126410325271662,1750500000.0,1391900000.0,,,暫定良好,OK,75.0,2026-09-21,2026-01-31,直近年次決算ベース（株価のみ最新）,Google News RSS; Yahoo Finance/yfinance,OK,財務データ未取得,Marvell Technology Stock Surge: .2B Revenue and AI Chip Boom [2026] - tech-insider.org,2026-04-14T16:00:00+09:00,https://news.google.com/rss/articles/CBMiggFBVV95cUxNOXJZMmhfdm9IaVNtazl3dmNyU09obWN6RGduSEFldlpNLTVDZEJUWUZOVktJTWk5RWNISEd4VEdaTU1PdHlxWC05bzFuaGhWLVMyMHQ4dTM5cEdEeTZwR0JZcjhzLUZIS25uTnZVVGZ0RWpKa0lFMDdyaXQ2WUR2NFlB?oc=5
